"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6876","TC-INQ-21 - Spinner displayed during search","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7113","TC-INQ-18 - Item Details - Pricing display format","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","6214","OR_UI_013 - Load PO Receiving Sessions page and verify metadata","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","29760","TC-INQ-04 - Search with invalid SKU/UPC","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","5719","AR_WTC01 - Load archive page controls and grid","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","3655","AL_WTC01 - Load alerts grid and validate columns","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","6093","OR_UI_034 - Initial load, PO number generation, and default action states","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","8610","TC-INQ-22 - Search by pressing Enter key","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7696","TC-INQ-13 - Item Details - verify Sales History table","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7697","TC-INQ-17 - Item Details - verify Assortment and Overstock tables","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7258","AR_WTC02 - Toggle history/finalized view","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","6640","AL_WTC05 - No Application Alerts","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","8164","TC-SAI-11 - Grid column sorting","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7655","TC-INQ-15 - Item Details - verify Promotions table","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","7050","p - Inventory Adjustment History UI and interaction walkthrough","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","9790","TC-LR-22 - Load Item Maintenance Label page","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","9232","AL_WTC02 - Filter alerts and verify empty result behavior","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","8032","TC-SAI-05 - Search by State/Province code","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","4906","TC-SAI-08 - Non-numeric input in Store Number field","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","4704","TC-LR-15 - Load Planogram Label Request page","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
"","5516","TC-UM-01 - Load User Management page","chromium","2026-08-24","passed","2026-08-24","Workbook search, sort, and read regression cases","","",""
