"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9781","AR_WTC05 - Filter in History view reduces records; no-match shows empty grid","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
"","5157","AR_WTC03 - Verify Delete button is absent (feature deferred per specification)","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
"","4960","AR_WTC01 - Load Archive Records page and validate all UI elements","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
"","7187","AR_WTC08 - History view displays success banner with finalized record count","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
"","13659","AR_WTC04 - Print archive report and handle offline errors gracefully","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
"","7838","AR_WTC02 - Toggle between current and finalized archive views","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
"","9629","AR_WTC09 - Print with a selected row in History view completes without error","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
"","9643","AR_WTC07 - Items-per-page dropdown and Next/Previous pagination work correctly","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
"","9003","AR_WTC06 - Column sorting toggles ascending and descending in History view","chromium","2026-05-15","passed","2026-05-15","Archive Records","","",""
